Linha	Total	Média dos dias úteis	Média dos Sábados	Média dos Domingos	Máxima Diária	Mês
3	23052,0	874,0	717,0	381,0	994,0	2021-12
3	19399,0	758,0	508,0	289,0	824,0	2022-01
3	21084,0	883,0	592,0	346,0	921,0	2022-02
3	26073,0	996,0	634,0	345,0	1048,0	2022-03
3	24646,0	1023,0	618,0	375,0	1048,0	2022-04
3	26929,0	1010,0	673,0	393,0	1045,0	2022-05
3	25162,0	980,0	635,0	392,0	1022,0	2022-06
3	24987,0	948,0	638,0	379,0	998,0	2022-07
3	27388,0	1015,0	640,0	372,0	1060,0	2022-08
3	26224,0	1035,0	664,0	358,0	1077,0	2022-09
3	26821,0	1051,0	665,0	379,0	1097,0	2022-10
3	25901,0	1063,0	695,0	396,0	1110,0	2022-11
3	25432,0	945,0	784,0	431,0	1145,0	2022-12
3	23278,0	887,0	603,0	372,0	978,0	2023-01
3	23296,0	1012,0	657,0	395,0	1065,0	2023-02
3	27409,0	1067,0	676,0	387,0	1096,0	2023-03
3	25011,0	1066,0	627,0	371,0	1157,0	2023-04
3	28000,0	1059,0	685,0	396,0	1085,0	2023-05
3	26496,0	1033,0	691,0	422,0	1122,0	2023-06
3	25822,0	981,0	667,0	379,0	1012,0	2023-07
3	28613,0	1063,0	669,0	374,0	1111,0	2023-08
3	27103,0	1097,0	671,0	398,0	1130,0	2023-09
3	26243,0	1081,0	675,0	366,0	1153,0	2023-10
3	26110,0	1114,0	707,0	488,0	1136,0	2023-11
4	14678,0	590,0	301,0	166,0	654,0	2017-01
4	15871,0	685,0	444,0	252,0	706,0	2017-02
4	18467,0	700,0	392,0	199,0	749,0	2017-03
4	15094,0	724,0	329,0	134,0	763,0	2017-04
4	17963,0	715,0	370,0	140,0	738,0	2017-05
4	16963,0	704,0	345,0	201,0	740,0	2017-06
4	16165,0	658,0	341,0	127,0	694,0	2017-07
4	18064,0	712,0	347,0	76,0	736,0	2017-08
4	16625,0	728,0	342,0	114,0	760,0	2017-09
4	17365,0	732,0	347,0	126,0	772,0	2017-10
4	16307,0	743,0	348,0	148,0	768,0	2017-11
4	16104,0	674,0	345,0	158,0	762,0	2017-12
4	15110,0	610,0	313,0	152,0	696,0	2018-01
4	16807,0	722,0	517,0	254,0	772,0	2018-02
4	19470,0	786,0	372,0	222,0	836,0	2018-03
4	18757,0	774,0	370,0	207,0	808,0	2018-04
4	19792,0	789,0	409,0	259,0	810,0	2018-05
4	18618,0	750,0	379,0	243,0	818,0	2018-06
4	17862,0	711,0	376,0	235,0	744,0	2018-07
4	20844,0	797,0	397,0	229,0	827,0	2018-08
4	18080,0	800,0	411,0	111,0	841,0	2018-09
4	18907,0	761,0	362,0	118,0	828,0	2018-10
4	16990,0	735,0	354,0	213,0	802,0	2018-11
4	16471,0	666,0	373,0	233,0	795,0	2018-12
4	16121,0	648,0	313,0	203,0	713,0	2019-01
4	18136,0	765,0	437,0	273,0	808,0	2019-02
4	19278,0	789,0	438,0	268,0	835,0	2019-03
4	19644,0	808,0	387,0	227,0	843,0	2019-04
4	20654,0	809,0	393,0	257,0	848,0	2019-05
4	18030,0	780,0	398,0	247,0	827,0	2019-06
4	18518,0	730,0	378,0	222,0	760,0	2019-07
4	20689,0	810,0	394,0	223,0	838,0	2019-08
4	19888,0	818,0	385,0	234,0	855,0	2019-09
4	21387,0	818,0	386,0	255,0	854,0	2019-10
4	19412,0	836,0	392,0	238,0	872,0	2019-11
4	17788,0	703,0	400,0	261,0	859,0	2019-12
4	17750,0	702,0	335,0	202,0	777,0	2020-01
4	18294,0	763,0	441,0	310,0	853,0	2020-02
4	13139,0	521,0	232,0	151,0	861,0	2020-03
4	3806,0	158,0	83,0	48,0	174,0	2020-04
4	4062,0	175,0	91,0	49,0	182,0	2020-05
4	5278,0	208,0	113,0	60,0	230,0	2020-06
